SOURCEBUS.1,1.075383392, +j -3.837548765 ,0.158285511, +j -0.1691572374,0.158285511, +j -0.1691572374,-0.004440182, +j 0.01776072748,0.002220091, +j -0.00888036374,0.002220091, +j -0.00888036374,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
SOURCEBUS.2,0.158285511, +j -0.1691572374,1.075383392, +j -3.837548765 ,0.158285511, +j -0.1691572374,0.002220091, +j -0.00888036374,-0.004440182, +j 0.01776072748,0.002220091, +j -0.00888036374,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
SOURCEBUS.3,0.158285511, +j -0.1691572374,0.158285511, +j -0.1691572374,1.075383392, +j -3.837548765 ,0.002220091, +j -0.00888036374,0.002220091, +j -0.00888036374,-0.004440182, +j 0.01776072748,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
799.1,-0.004440182, +j 0.01776072748,0.002220091, +j -0.00888036374,0.002220091, +j -0.00888036374,3.206053734, +j -8.334272486 ,-3.099674376, +j 7.908754977  ,-0.106379357, +j 0.4255174292 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-2.72117729, +j 6.802943225  ,2.72117729, +j -6.802943225 ,0, +j 0            
799.2,0.002220091, +j -0.00888036374,-0.004440182, +j 0.01776072748,0.002220091, +j -0.00888036374,-3.099674376, +j 7.908754977  ,1006.199349, +j -15.81751008 ,-3.099674376, +j 7.908754977  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,2.72117729, +j -6.802943225 ,-1005.473632, +j 13.6840812   ,2.75245519, +j -6.881137975 
799.3,0.002220091, +j -0.00888036374,0.002220091, +j -0.00888036374,-0.004440182, +j 0.01776072748,-0.106379357, +j 0.4255174292 ,-3.099674376, +j 7.908754977  ,3.206053734, +j -8.334272486 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,2.75245519, +j -6.881137975 ,-2.75245519, +j 6.881137975  
709.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,37.34464379, +j -22.05859915 ,-10.76165985, +j 6.282273093  ,-7.364699128, +j 6.897213571  ,-0.396468952, +j 7.973431153  ,0.198234476, +j -3.986715576 ,0.198234476, +j -3.986715576 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-19.04936012, +j 10.85681564  ,5.485193056, +j -3.004392273 ,3.750574815, +j -3.318404432 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-11.90585007, +j 6.785509775  ,3.42824566, +j -1.877745171 ,2.34410926, +j -2.07400277  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-6.349786706, +j 3.618938547  ,1.828397685, +j -1.001464091 ,1.250191605, +j -1.106134811 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
709.2,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-10.76165985, +j 6.282273093  ,39.84514071, +j -21.05348371 ,-10.76165985, +j 6.282273093  ,0.198234476, +j -3.986715576 ,-0.396468952, +j 7.973431153  ,0.198234476, +j -3.986715576 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,5.485193056, +j -3.004392273 ,-20.32620961, +j 10.34356521  ,5.485193056, +j -3.004392273 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,3.42824566, +j -1.877745171 ,-12.70388101, +j 6.464728254  ,3.42824566, +j -1.877745171 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,1.828397685, +j -1.001464091 ,-6.775403203, +j 3.447855069  ,1.828397685, +j -1.001464091 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
709.3,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-7.364699128, +j 6.897213571  ,-10.76165985, +j 6.282273093  ,37.34464379, +j -22.05859915 ,0.198234476, +j -3.986715576 ,0.198234476, +j -3.986715576 ,-0.396468952, +j 7.973431153  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,3.750574815, +j -3.318404432 ,5.485193056, +j -3.004392273 ,-19.04936012, +j 10.85681564  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,2.34410926, +j -2.07400277  ,3.42824566, +j -1.877745171 ,-11.90585007, +j 6.785509775  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,1.250191605, +j -1.106134811 ,1.828397685, +j -1.001464091 ,-6.349786706, +j 3.618938547  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
775.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-0.396468952, +j 7.973431153  ,0.198234476, +j -3.986715576 ,0.198234476, +j -3.986715576 ,3.964689524, +j -79.73431225 ,-1.982344762, +j 39.86715576  ,-1.982344762, +j 39.86715576  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
775.2,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0.198234476, +j -3.986715576 ,-0.396468952, +j 7.973431153  ,0.198234476, +j -3.986715576 ,-1.982344762, +j 39.86715576  ,3.964689524, +j -79.73431225 ,-1.982344762, +j 39.86715576  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
